10 Speakers	{"count": 214}
12 Speakers	{"count": 8}
14 Inch Wheels	{"count": 19}
15 Inch Wheels	{"count": 228}
15-Passenger Seating	{"count": 2}
16 Inch Wheels	{"count": 597}
17 Inch Wheels	{"count": 1019}
18 Inch Wheels	{"count": 718}
19 Inch Wheels	{"count": 20}
1SB Package	{"count": 18}
2 Speakers	{"count": 3}
2-Stage Unlocking	{"count": 80}
20 Inch Wheels	{"count": 51}
3-Point Seat Belts	{"count": 3188}
4 Speakers	{"count": 543}
4-Passenger Seating	{"count": 11}
4-Wheel Disc Brakes	{"count": 372}
4-Wheel Independent Suspension	{"count": 100}
5-Passenger Seating	{"count": 1146}
6 Speakers	{"count": 1128}
6-Passenger Seating	{"count": 6}
7 Speakers	{"count": 141}
7-Passenger Seating	{"count": 140}
8 Speakers	{"count": 422}
8-Passenger Seating	{"count": 44}
9 Speakers	{"count": 18}
AM/FM	{"count": 5383}
Access Cab	{"count": 74}
Active Grille Shutters	{"count": 9}
Active Noise Cancellation	{"count": 39}
AcuraLink	{"count": 9}
Adaptive Cruise Control	{"count": 39}
Adjustable Headrests	{"count": 1369}
Adjustable Lumbar Support	{"count": 1334}
Adjustable Pedals	{"count": 334}
Adjustable Seats	{"count": 2035}
Adjustable Steering Wheel	{"count": 4846}
Advanced Airbag System	{"count": 88}
Advanced Front Airbags	{"count": 15}
Advanced Front-Lighting System	{"count": 272}
Air Conditioning	{"count": 6706}
Air Filtration	{"count": 1373}
Airbag Deactivation	{"count": 67}
Airbag Deactivation (Passenger)	{"count": 155}
Airbags	{"count": 561}
All-Season Tires	{"count": 1521}
All-Season Tires (Front)	{"count": 8}
All-Season Tires (Rear)	{"count": 8}
Alloy Wheels	{"count": 3459}
Alpine Sound System	{"count": 44}
Aluminum Dash Trim	{"count": 29}
Aluminum Door Trim	{"count": 581}
Aluminum Interior Accents	{"count": 23}
Ambient Lighting	{"count": 13}
Antenna	{"count": 1747}
Anti-Lock Brakes	{"count": 5153}
Anti-Theft Stereo	{"count": 116}
Anti-Theft System	{"count": 3318}
Anti-lock Brakes	{"count": 725}
Anti-theft System	{"count": 566}
Appearance Package	{"count": 4}
Armrest	{"count": 200}
Armrest Storage	{"count": 165}
Armrests	{"count": 1245}
Audiophile Sound System	{"count": 7}
Auto Climate Control	{"count": 775}
Auto-Dimming Mirror	{"count": 1603}
Auto-dimming Mirror	{"count": 226}
Automatic Hazard Warning Lights	{"count": 28}
Automatic Headlights	{"count": 2269}
Automatic Locking Hubs	{"count": 9}
Aux Audio Adapter	{"count": 1883}
BMW Assist	{"count": 76}
Bed Liner	{"count": 163}
Bench Seat	{"count": 279}
Beverage Holder	{"count": 128}
Black Grille	{"count": 12}
Blind Spot Monitor	{"count": 232}
Body Colored Bumpers	{"count": 1553}
Body Colored Door Handles	{"count": 1373}
Body Colored Grille	{"count": 667}
Body Colored Side Moldings	{"count": 481}
Body Side Moldings	{"count": 153}
Body_Style:Chassis	{"count": 73}
Body_Style:Convertible	{"count": 456}
Body_Style:Coupe	{"count": 527}
Body_Style:Hatchback	{"count": 340}
Body_Style:Minivan	{"count": 144}
Body_Style:Pickup	{"count": 1831}
Body_Style:SUV	{"count": 3434}
Body_Style:Sedan	{"count": 4390}
Body_Style:Van	{"count": 56}
Body_Style:Wagon	{"count": 197}
Bose Sound System	{"count": 312}
Boston Acoustic Sound System	{"count": 12}
Braking Assist	{"count": 1648}
Brembo Brake Package	{"count": 5}
Bucket Seats	{"count": 301}
CD (Multi Disc)	{"count": 1504}
CD (Single Disc)	{"count": 3638}
Cab Plus	{"count": 37}
Cab_Style:Crew Cab	{"count": 967}
Cab_Style:Extended Cab	{"count": 684}
Cab_Style:Regular Cab	{"count": 192}
Cab_Style:null	{"count": 9605}
Capless Fuel Filler System	{"count": 8}
Captains Chairs	{"count": 39}
Cargo Area Concealed Storage	{"count": 47}
Cargo Area Light	{"count": 1604}
Cargo Area Tie Downs	{"count": 1107}
Cargo Area Under Floor	{"count": 166}
Cargo Cover	{"count": 294}
Cargo Net	{"count": 346}
Cargo Tray	{"count": 7}
Cargo Van	{"count": 55}
Cassette	{"count": 571}
Center Console	{"count": 866}
Child Safety Locks	{"count": 2156}
Child Seat Anchors	{"count": 2842}
Chrome Bumpers	{"count": 320}
Chrome Door Handles	{"count": 414}
Chrome Front Grill	{"count": 763}
Chrome Mirrors	{"count": 6}
Chrome Package	{"count": 4}
Chrome Step Bumper	{"count": 9}
Chrome Wheels	{"count": 161}
Cigarette Lighter	{"count": 154}
City:Aberdeen	{"count": 12}
City:Aiken	{"count": 31}
City:Alabaster	{"count": 8}
City:Alpharetta	{"count": 14}
City:Altamonte Springs	{"count": 34}
City:Anaheim	{"count": 2}
City:Anchorage	{"count": 14}
City:Andalusia	{"count": 15}
City:Apex	{"count": 12}
City:Apopka	{"count": 22}
City:Archer	{"count": 9}
City:Asheville	{"count": 80}
City:Athens	{"count": 40}
City:Atlanta	{"count": 333}
City:Auburn	{"count": 35}
City:Auburndale	{"count": 5}
City:Augusta	{"count": 198}
City:Austin	{"count": 35}
City:Ballston Spa	{"count": 7}
City:Ballwin	{"count": 10}
City:Batavia	{"count": 62}
City:Bedford	{"count": 15}
City:Belgrade	{"count": 100}
City:Belleview	{"count": 7}
City:Belleville	{"count": 9}
City:Bellingham	{"count": 17}
City:Benson	{"count": 10}
City:Bethania	{"count": 5}
City:Bethlehem	{"count": 6}
City:Birmingham	{"count": 10}
City:Bolivar	{"count": 7}
City:Boynton Beach	{"count": 12}
City:Bozeman	{"count": 17}
City:Bradenton	{"count": 93}
City:Brandon	{"count": 52}
City:Brevard	{"count": 5}
City:Brooklyn	{"count": 1}
City:Bryn Mawr	{"count": 6}
City:Buena Vista	{"count": 26}
City:Buffalo	{"count": 12}
City:Buford	{"count": 15}
City:Burlington	{"count": 83}
City:Cairo	{"count": 11}
City:Calabash	{"count": 13}
City:Camden	{"count": 57}
City:Cameron	{"count": 16}
City:Candler	{"count": 57}
City:Canton	{"count": 14}
City:Carrboro	{"count": 10}
City:Carrollton	{"count": 16}
City:Cary	{"count": 5}
City:Cedartown	{"count": 4}
City:Center Conway	{"count": 73}
City:Centralia	{"count": 2}
City:Centre	{"count": 9}
City:Chapel Hill	{"count": 16}
City:Chapin	{"count": 13}
City:Chardon	{"count": 20}
City:Charleston	{"count": 56}
City:Charlotte	{"count": 154}
City:Chattanooga	{"count": 80}
City:Chelsea	{"count": 26}
City:Chennai	{"count": 11}
City:Cherry Hill	{"count": 19}
City:Chicago	{"count": 8}
City:Chicopee	{"count": 5}
City:Chipley	{"count": 13}
City:Clarkston	{"count": 9}
City:Clayton	{"count": 55}
City:Clearwater	{"count": 19}
City:Clemmons	{"count": 8}
City:Clermont	{"count": 20}
City:Cleveland	{"count": 25}
City:Cockeysville	{"count": 4}
City:Collierville	{"count": 3}
City:Columbia	{"count": 102}
City:Columbus	{"count": 59}
City:Concord	{"count": 19}
City:Conway	{"count": 31}
City:Conyers	{"count": 52}
City:Cornelia	{"count": 7}
City:Cornelius	{"count": 6}
City:Coshocton	{"count": 7}
City:Cottageville	{"count": 6}
City:Covington	{"count": 4}
City:Cowpens	{"count": 8}
City:Cumming	{"count": 87}
City:Custer	{"count": 4}
City:Dallas	{"count": 10}
City:Dalton	{"count": 12}
City:Danielsville	{"count": 16}
City:Danville	{"count": 17}
City:Daphne	{"count": 36}
City:Darlington	{"count": 8}
City:Davenport	{"count": 26}
City:Dawsonville	{"count": 16}
City:Deltona	{"count": 95}
City:Denver	{"count": 13}
City:Donalsonville	{"count": 16}
City:Dothan	{"count": 4}
City:Douglas	{"count": 31}
City:Douglasville	{"count": 41}
City:Duluth	{"count": 48}
City:Duncan	{"count": 11}
City:Dunedin	{"count": 21}
City:Durham	{"count": 59}
City:Dyer	{"count": 26}
City:Eden	{"count": 19}
City:Edgewater	{"count": 5}
City:Elizabethtown	{"count": 28}
City:Elk Grove Village	{"count": 22}
City:Ellenwood	{"count": 21}
